temp_C,time_min,h2so4_M,h2o2_M,pulp_density_gL,Li_pct,Ni_pct,Co_pct,Mn_pct
10.0,180.5,0.3,0.666667,333.0,20.13,16.568,16.847,9.697
10.0,180.5,0.3,1.0,20.0,51.184,34.731,34.029,30.439
10.0,180.5,0.3,1.0,124.333,52.369,58.104,55.931,55.682
10.0,180.5,0.3,1.0,228.667,32.156,27.954,27.943,16.768
10.0,180.5,0.3,1.0,333.0,20.129,16.568,16.847,9.697
10.0,180.5,0.725,0.0,20.0,51.187,34.734,34.032,30.439
10.0,180.5,0.725,0.0,124.333,52.375,58.11,55.936,55.689
10.0,180.5,0.725,0.0,228.667,32.16,27.957,27.946,16.772
10.0,180.5,0.725,0.0,333.0,20.131,16.569,16.848,9.698
10.0,180.5,0.725,0.333333,20.0,51.188,34.736,34.033,30.44
10.0,180.5,0.725,0.333333,124.333,52.375,58.111,55.937,55.69
10.0,180.5,0.725,0.333333,228.667,32.16,27.957,27.946,16.772
10.0,180.5,0.725,0.333333,333.0,20.131,16.569,16.848,9.698
10.0,180.5,0.725,0.666667,20.0,51.188,34.737,34.034,30.441
10.0,180.5,0.725,0.666667,124.333,52.375,58.111,55.937,55.689
10.0,180.5,0.725,0.666667,228.667,32.159,27.957,27.946,16.772
10.0,180.5,0.725,0.666667,333.0,20.13,16.569,16.848,9.698
10.0,180.5,0.725,1.0,20.0,51.188,34.737,34.034,30.442
10.0,180.5,0.725,1.0,124.333,52.374,58.111,55.937,55.689
10.0,180.5,0.725,1.0,228.667,32.159,27.957,27.945,16.771
10.0,180.5,0.725,1.0,333.0,20.13,16.568,16.847,9.697
10.0,180.5,1.15,0.0,20.0,51.19,34.74,34.036,30.441
10.0,180.5,1.15,0.0,124.333,52.379,58.116,55.94,55.694
10.0,180.5,1.15,0.0,228.667,32.162,27.959,27.948,16.774
10.0,180.5,1.15,0.0,333.0,20.131,16.57,16.848,9.699
10.0,180.5,1.15,0.333333,20.0,51.191,34.741,34.037,30.442
10.0,180.5,1.15,0.333333,124.333,52.38,58.116,55.941,55.695
10.0,180.5,1.15,0.333333,228.667,32.162,27.959,27.948,16.774
10.0,180.5,1.15,0.333333,333.0,20.131,16.569,16.848,9.698
10.0,180.5,1.15,0.666667,20.0,51.191,34.742,34.038,30.443
10.0,180.5,1.15,0.666667,124.333,52.38,58.117,55.942,55.695
10.0,180.5,1.15,0.666667,228.667,32.162,27.959,27.948,16.774
10.0,180.5,1.15,0.666667,333.0,20.131,16.569,16.848,9.698
10.0,180.5,1.15,1.0,20.0,51.191,34.743,34.038,30.444
10.0,180.5,1.15,1.0,124.333,52.379,58.116,55.941,55.694
10.0,180.5,1.15,1.0,228.667,32.161,27.959,27.947,16.774
10.0,180.5,1.15,1.0,333.0,20.13,16.569,16.848,9.698
10.0,180.5,1.575,0.0,20.0,51.192,34.745,34.039,30.443
10.0,180.5,1.575,0.0,124.333,52.383,58.12,55.944,55.699
10.0,180.5,1.575,0.0,228.667,32.164,27.961,27.949,16.776
10.0,180.5,1.575,0.0,333.0,20.131,16.57,16.849,9.699
10.0,180.5,1.575,0.333333,20.0,51.193,34.746,34.041,30.444
10.0,180.5,1.575,0.333333,124.333,52.383,58.121,55.945,55.699
10.0,180.5,1.575,0.333333,228.667,32.164,27.961,27.949,16.776
10.0,180.5,1.575,0.333333,333.0,20.131,16.57,16.848,9.699
10.0,180.5,1.575,0.666667,20.0,51.193,34.747,34.041,30.445
10.0,180.5,1.575,0.666667,124.333,52.383,58.121,55.945,55.699
10.0,180.5,1.575,0.666667,228.667,32.163,27.961,27.949,16.776
10.0,180.5,1.575,0.666667,333.0,20.131,16.569,16.848,9.698
10.0,180.5,1.575,1.0,20.0,51.193,34.748,34.042,30.445
10.0,180.5,1.575,1.0,124.333,52.382,58.121,55.945,55.698
10.0,180.5,1.575,1.0,228.667,32.162,27.96,27.949,16.776
10.0,180.5,1.575,1.0,333.0,20.13,16.569,16.848,9.698
10.0,180.5,2.0,0.0,20.0,51.193,34.749,34.042,30.444
10.0,180.5,2.0,0.0,124.333,52.385,58.123,55.947,55.702
10.0,180.5,2.0,0.0,228.667,32.165,27.962,27.95,16.778
10.0,180.5,2.0,0.0,333.0,20.131,16.569,16.848,9.699
